FID	IID	Sex
S28679	S28679	2
S28697	S28697	2
S28851	S28851	2
S28815	S28815	1
S28949	S28949	1
S28852	S28852	1
S28962	S28962	1
S28768	S28768	1
S28875	S28875	1
S28989	S28989	2
S28736	S28736	2
S29005	S29005	2
S28993	S28993	2
S28777	S28777	1
S29667	S29667	2
S29337	S29337	2
S29692	S29692	1
S28670	S28670	2
S29026	S29026	2
S28668	S28668	2
S28676	S28676	2
S28677	S28677	2
S28801	S28801	1
S28766	S28766	1
S28855	S28855	1
S28761	S28761	1
S28831	S28831	1
S28913	S28913	1
S28719	S28719	2
S29004	S29004	2
S28703	S28703	2
S28892	S28892	1
S28756	S28756	2
S28988	S28988	2
S29096	S29096	1
S28936	S28936	2
S28861	S28861	1
S29548	S29548	1
S28673	S28673	2
S28689	S28689	2
S28669	S28669	2
S28682	S28682	2
S28675	S28675	2
S28817	S28817	2
S28830	S28830	1
S28807	S28807	1
S28972	S28972	1
S28760	S28760	1
S28958	S28958	1
S28836	S28836	1
S28822	S28822	1
S28887	S28887	1
S29052	S29052	2
S28914	S28914	1
S28897	S28897	1
S28740	S28740	2
S28750	S28750	2
S28710	S28710	2
S28994	S28994	0
S28700	S28700	2
S28922	S28922	2
S28786	S28786	1
S29332	S29332	1
S29313	S29313	1
S29343	S29343	1
S29148	S29148	1
S29131	S29131	1
S29153	S29153	1
S29113	S29113	2
S28976	S28976	1
S28950	S28950	1
S28980	S28980	1
S28743	S28743	2
S28764	S28764	1
S28896	S28896	1
S28895	S28895	1
S28820	S28820	1
S28903	S28903	1
S28912	S28912	1
S28888	S28888	1
S28902	S28902	1
S28747	S28747	2
S28746	S28746	2
S29038	S29038	2
S28783	S28783	1
S28929	S28929	2
S29703	S29703	1
S29422	S29422	1
S28944	S28944	1
S29208	S29208	2
S29105	S29105	2
S29235	S29235	1
S29141	S29141	1
S29228	S29228	2
S28996	S28996	2
S28757	S28757	1
S28970	S28970	1
S28864	S28864	1
S28853	S28853	1
S28842	S28842	1
S28805	S28805	1
S28905	S28905	1
S28894	S28894	1
S28854	S28854	1
S28809	S28809	1
S28995	S28995	2
S28998	S28998	2
S29029	S29029	1
S28869	S28869	1
S29027	S29027	1
S28908	S28908	1
S28878	S28878	1
S28990	S28990	2
S28706	S28706	2
S28916	S28916	2
S28727	S28727	2
S29064	S29064	2
S29079	S29079	2
S28925	S28925	2
S29496	S29496	2
S29173	S29173	2
S29204	S29204	1
S28709	S28709	2
S28849	S28849	2
S28955	S28955	1
S28804	S28804	1
S28803	S28803	1
S28868	S28868	1
S28759	S28759	1
S28762	S28762	1
S28808	S28808	1
S28960	S28960	1
S28800	S28800	1
S28848	S28848	2
S28915	S28915	1
S28708	S28708	1
S28859	S28859	1
S28835	S28835	1
S28959	S28959	1
S28865	S28865	1
S28730	S28730	2
S28699	S28699	2
S28748	S28748	2
S28711	S28711	2
S28724	S28724	2
S28707	S28707	2
S28997	S28997	2
S29041	S29041	1
S28784	S28784	2
S29078	S29078	1
S28790	S28790	1
S28787	S28787	1
S28918	S28918	2
S28772	S28772	1
S28797	S28797	1
S29986	S29986	1
S29062	S29062	2
S29111	S29111	2
S29130	S29130	1
S29234	S29234	2
S29212	S29212	1
S28863	S28863	2
S28940	S28940	1
S28941	S28941	1
S28933	S28933	1
S28952	S28952	1
S28939	S28939	1
S28954	S28954	1
S28823	S28823	1
S28812	S28812	1
S28957	S28957	1
S28860	S28860	1
S28834	S28834	1
S28832	S28832	1
S28883	S28883	1
S28862	S28862	2
S28907	S28907	1
S28877	S28877	1
S29039	S29039	2
S29003	S29003	2
S28921	S28921	2
S29000	S29000	2
S28704	S28704	2
S29043	S29043	1
S29002	S29002	2
S28749	S28749	0
S28722	S28722	2
S29082	S29082	2
S28779	S28779	1
S28937	S28937	2
S28845	S28845	1
S28780	S28780	1
S29095	S29095	2
S29080	S29080	1
S29671	S29671	1
S28906	S28906	1
S28745	S28745	1
S29150	S29150	1
S29119	S29119	1
S29181	S29181	1
S29120	S29120	1
S29165	S29165	1
S28678	S28678	2
S28975	S28975	1
S28769	S28769	1
S28987	S28987	1
S28956	S28956	1
S28973	S28973	1
S28948	S28948	1
S28946	S28946	1
S28964	S28964	1
S28934	S28934	2
S28806	S28806	1
S28826	S28826	1
S29070	S29070	1
S28867	S28867	1
S28893	S28893	1
S28919	S28919	1
S28829	S28829	1
S28983	S28983	1
S28847	S28847	1
S28731	S28731	2
S28737	S28737	2
S28999	S28999	2
S28701	S28701	2
S28705	S28705	2
S28714	S28714	2
S28723	S28723	2
S29034	S29034	2
S28698	S28698	2
S28729	S28729	2
S29007	S29007	2
S28785	S28785	1
S28773	S28773	1
S28794	S28794	1
S28776	S28776	1
S28871	S28871	1
S28782	S28782	1
S29650	S29650	1
S29686	S29686	2
S28872	S28872	1
S29201	S29201	2
S29122	S29122	1
S29149	S29149	1
S29169	S29169	2
S29193	S29193	2
S29197	S29197	2
S29218	S29218	2
S28963	S28963	1
S28945	S28945	1
S28838	S28838	2
S28971	S28971	1
S28981	S28981	1
S28947	S28947	1
S28961	S28961	1
S28813	S28813	1
S28833	S28833	1
S28873	S28873	1
S28909	S28909	1
S28911	S28911	1
S28821	S28821	1
S28816	S28816	1
S28882	S28882	1
S28876	S28876	1
S28702	S28702	2
S28751	S28751	1
S28755	S28755	2
S28734	S28734	2
S28732	S28732	2
S28718	S28718	2
S28931	S28931	2
S28775	S28775	1
S29084	S29084	2
S29075	S29075	2
S29076	S29076	2
S28788	S28788	1
S28778	S28778	1
S28923	S28923	2
S28932	S28932	2
S29535	S29535	1
S28713	S28713	2
S29101	S29101	1
S29146	S29146	2
S29098	S29098	1
S29100	S29100	1
S29174	S29174	1
S29179	S29179	1
S29109	S29109	1
S29171	S29171	1
S28819	S28819	1
S29230	S29230	2
S29032	S29032	2
S29214	S29214	1
S29028	S29028	2
S29011	S29011	2
S28982	S28982	1
S28818	S28818	2
S28880	S28880	1
S29035	S29035	1
S28928	S28928	1
S28891	S28891	1
S28992	S28992	2
S29006	S29006	2
S29049	S29049	2
S28890	S28890	1
S28917	S28917	2
S28742	S28742	2
S29051	S29051	1
S29048	S29048	2
S29088	S29088	1
S28781	S28781	2
S29045	S29045	2
S29053	S29053	2
S29108	S29108	1
S29116	S29116	1
S29184	S29184	1
S29031	S29031	2
S29211	S29211	2
S29206	S29206	1
S28754	S28754	2
S29220	S29220	2
S29188	S29188	2
S28951	S28951	1
